route_id,route,route_name,origin_port_id,destination_port_id,distance_nm,typical_transit_hours,canal_required,canal_type,piracy_risk,weather_risk,congestion_risk,historical_delay_rate,typical_fuel_consumption,route_risk_score
1,Australia-Paradip,Hay Point to Paradip,15,1,4950,392.8,Torres Strait / Malacca,Malacca,Low,Medium,Medium,0.14,507.7,4.32
2,Australia-Visakhapatnam,Hay Point to Visakhapatnam,15,2,4880,387.4,Torres Strait / Malacca,Malacca,Low,Medium,Low,0.12,500.5,3.18
3,Australia-Gangavaram,Hay Point to Gangavaram,15,3,4875,387.0,Torres Strait / Malacca,Malacca,Low,Medium,Low,0.11,500.0,3.09
4,Australia-Dhamra,Hay Point to Dhamra,15,4,4980,395.1,Torres Strait / Malacca,Malacca,Low,Medium,Low,0.12,510.8,3.28
5,Australia-Haldia,Hay Point to Haldia,15,6,5040,399.7,Torres Strait / Malacca,Malacca,Low,High,High,0.28,516.9,7.21
6,Australia-Gopalpur,Hay Point to Gopalpur,15,5,4910,389.7,Torres Strait / Malacca,Malacca,Low,Medium,Medium,0.18,503.6,4.1
7,Australia-Paradip,Gladstone to Paradip,16,1,5080,402.8,Torres Strait / Malacca,Malacca,Low,Medium,Medium,0.14,521.0,4.42
8,Australia-Visakhapatnam,Gladstone to Visakhapatnam,16,2,5010,397.4,Torres Strait / Malacca,Malacca,Low,Medium,Low,0.12,513.8,2.82
9,Australia-Gangavaram,Gladstone to Gangavaram,16,3,5005,397.0,Torres Strait / Malacca,Malacca,Low,Medium,Low,0.11,513.3,2.86
10,Australia-Haldia,Gladstone to Haldia,16,6,5170,409.7,Torres Strait / Malacca,Malacca,Low,High,High,0.29,530.3,7.54
11,Australia-Paradip,Newcastle to Paradip,17,1,5520,436.6,Bass Strait / Sunda / Malacca,Malacca,Low,Medium,Medium,0.15,566.2,4.54
12,Australia-Visakhapatnam,Newcastle to Visakhapatnam,17,2,5450,431.2,Bass Strait / Sunda / Malacca,Malacca,Low,Medium,Low,0.13,559.0,2.85
13,Australia-Paradip,Port Hedland to Paradip,18,1,3620,290.5,Direct Indian Ocean,Direct Sea,Low,Low,Medium,0.1,371.3,2.56
14,Australia-Visakhapatnam,Port Hedland to Visakhapatnam,18,2,3540,284.3,Direct Indian Ocean,Direct Sea,Low,Low,Low,0.09,363.1,1.94
15,Indonesia-Paradip,Balikpapan to Paradip,19,1,2320,190.5,Makassar Strait / Malacca,Malacca,Low,Medium,Medium,0.15,237.9,4.29
16,Indonesia-Visakhapatnam,Balikpapan to Visakhapatnam,19,2,2240,184.3,Makassar Strait / Malacca,Malacca,Low,Medium,Low,0.13,229.7,2.94
17,Indonesia-Gangavaram,Balikpapan to Gangavaram,19,3,2235,183.9,Makassar Strait / Malacca,Malacca,Low,Medium,Low,0.12,229.2,2.75
18,Indonesia-Dhamra,Balikpapan to Dhamra,19,4,2350,192.8,Makassar Strait / Malacca,Malacca,Low,Medium,Low,0.13,241.0,2.95
19,Indonesia-Haldia,Balikpapan to Haldia,19,6,2410,197.4,Makassar Strait / Malacca,Malacca,Low,High,High,0.26,247.2,7.02
20,Indonesia-Paradip,Tanjung Priok to Paradip,20,1,1950,162.0,Sunda Strait / Bay of Bengal,Direct Sea,Low,Medium,Medium,0.12,200.0,3.85
