id,event_type,route,port_id,severity,description,event_date,source
1,port_congestion,Australia-Haldia,9,Medium,[Kamarajar (Ennore) / Australia-Haldia] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-11-18,AIS Congestion Tracker
2,freight_anomaly,Mozambique-Gangavaram,1,Medium,[Paradip / Mozambique-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2022-09-06,Baltic Exchange Market Monitor
3,port_congestion,Russia-Paradip,26,Medium,[Vostochny / Russia-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-02-20,AIS Congestion Tracker
4,port_congestion,Russia-Visakhapatnam,4,Low,[Dhamra / Russia-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-02-27,AIS Congestion Tracker
5,port_congestion,Russia-Visakhapatnam,21,Medium,[Samarinda / Russia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-04-03,Terminal Operations Log
6,port_congestion,USA-Gangavaram,19,Low,[Balikpapan / USA-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-02-14,AIS Congestion Tracker
7,freight_anomaly,Indonesia-Mundra,31,Medium,[Rotterdam / Indonesia-Mundra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2021-10-09,Baltic Exchange Market Monitor
8,weather,Australia-Gangavaram,27,Low,[Vanino / Australia-Gangavaram] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-08-24,JTWC Cyclone Warning
9,freight_anomaly,USA-Gangavaram,14,Medium,[Cochin / USA-Gangavaram] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-08-14,FreightIQ Anomaly Engine
10,freight_anomaly,Indonesia-Gangavaram,27,Medium,[Vanino / Indonesia-Gangavaram] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2025-10-15,Baltic Exchange Market Monitor
11,weather,Australia-Gopalpur,27,Low,[Vanino / Australia-Gopalpur] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2025-04-06,Marine Weather Routing Service
12,port_congestion,Mozambique-Visakhapatnam,21,Medium,[Samarinda / Mozambique-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-04-01,AIS Congestion Tracker
13,weather,Mozambique-Gangavaram,27,Medium,[Vanino / Mozambique-Gangavaram] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2022-09-03,JTWC Cyclone Warning
14,weather,India-Chennai,2,High,[Visakhapatnam / India-Chennai] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-05-03,Marine Weather Routing Service
15,weather,Australia-Haldia,18,Low,[Port Hedland / Australia-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-09-20,Marine Weather Routing Service
16,freight_anomaly,Indonesia-Paradip,25,High,[Beira / Indonesia-Paradip] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-03-01,Baltic Exchange Market Monitor
17,weather,Australia-Paradip,4,Medium,[Dhamra / Australia-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2022-11-19,Marine Weather Routing Service
18,geopolitical,Indonesia-Paradip,3,Low,[Gangavaram / Indonesia-Paradip] Sanction compliance verification tightening on Far East coal flows.,2021-06-21,Maritime Security Advisory
19,port_congestion,USA-Visakhapatnam,3,High,[Gangavaram / USA-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2025-12-18,Port Authority Circular
20,weather,USA-Mundra,27,Low,[Vanino / USA-Mundra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2023-09-14,JTWC Cyclone Warning
21,port_congestion,USA-Mundra,12,High,[Kandla (Deendayal) / USA-Mundra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-12-22,Port Authority Circular
22,weather,Russia-Visakhapatnam,28,Medium,[Singapore / Russia-Visakhapatnam] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2025-04-18,India Meteorological Department (IMD)
